id;order_ref;original_host;payment_data;payment_type;user_id
1;Credit Card Account scalable;Parkway transition;Plastic backing up;leverage infomediaries;1
2;Qatar;niches;6th generation invoice;Garden hack;1
3;Soap;Handcrafted Frozen Gloves matrix;Shirt Berkshire;communities invoice online;2
4;PNG Grocery;XSS Steel superstructure;Salad;Washington;1
5;Strategist;Designer envisioneer;Florida Chair digital;Fish;1
6;parsing;Keyboard sensor;productivity Savings Account moratorium;Buckinghamshire;1
7;Handcrafted;Solutions global;Georgia Handcrafted;plum;1
8;Outdoors Tennessee;optical;South Dakota Practical PCI;Alaska New Zealand;1
9;Unbranded Soft Chicken;Computers strategize;Buckinghamshire Handcrafted;Tasty withdrawal;1
10;withdrawal Handcrafted zero defect;Avon India;FTP indexing;interactive Sleek;1
